Gross/ Net;Economic activity;Time period;Average monthly wages
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2009;635
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2009;710
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2010;638
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2010;629
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2010;644
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2010;631
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2010;617
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2010;647
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2010;688
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2010;673
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2010;673
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2010;714
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2010;665
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2010;746
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2011;636
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2011;635
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2011;682
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2011;657
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2011;697
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2011;684
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2011;679
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2011;697
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2011;665
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2011;664
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2011;668
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2011;791
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2012;727
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2012;736
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2012;761
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2012;758
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2012;759
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2012;775
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2012;782
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2012;804
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2012;764
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2012;785
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2012;767
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2012;833
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2013;760
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2013;734
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2013;764
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2013;792
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2013;781
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2013;767
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2013;855
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2013;825
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2013;792
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2013;841
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2013;772
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2013;833
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2014;814
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2014;790
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2014;831
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2014;838
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2014;809
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2014;831
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2014;875
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2014;810
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2014;823
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2014;859
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2014;812
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2014;901
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2015;799
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2015;819
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2015;863
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2015;847
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2015;856
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2015;887
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2015;933
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2015;874
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2015;892
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2015;880
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2015;893
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2015;966
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2016;858
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2016;870
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2016;904
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2016;922
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2016;928
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2016;921
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2016;933
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2016;921
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2016;908
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2016;916
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2016;944
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2016;1038
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2017;941
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2017;912
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2017;993
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2017;958
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2017;977
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2017;981
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2017;997
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2017;1024
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2017;1012
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2017;1023
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2017;1063
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2017;1137
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2018;1040
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2018;1006
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2018;1062
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2018;1054
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2018;1085
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2018;1091
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2018;1087
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2018;1110
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2018;1058
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2018;1120
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2018;1113
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2018;1166
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2019;1133
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2019;1108
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2019;1167
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2019;1193
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2019;1208
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2019;1156
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2019;1236
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2019;1201
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2019;1186
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2019;1240
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2019;1202
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2019;1289
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2020;1226
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2020;1211
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2020;1271
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2020;1244
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2020;1225
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2020;1210
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2020;1342
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2020;1282
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2020;1313
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2020;1272
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2020;1268
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2020;1453
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2021;1258
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2021;1260
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2021;1365
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2021;1343
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2021;1297
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2021;1313
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2021;1354
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2021;1384
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2021;1368
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2021;1330
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2021;1368
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2021;1547
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2022;1441
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2022;1445
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2022;1647
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2022;1586
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2022;1559
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2022;1659
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2022;1642
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2022;1597
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2022;1683
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2022;1586
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2022;1599
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2022;1728
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2023;1625
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2023;1613
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2023;1719
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2023;1646
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2023;1694
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2023;1667
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2023;1667
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2023;1680
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2023;1629
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2023;1692
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2023;1689
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2023;1780
Gross;C28 Manufacture of machinery and equipment n.e.c.;January 2024;1760
Gross;C28 Manufacture of machinery and equipment n.e.c.;February 2024;1772
Gross;C28 Manufacture of machinery and equipment n.e.c.;March 2024;1946
Gross;C28 Manufacture of machinery and equipment n.e.c.;April 2024;1907
Gross;C28 Manufacture of machinery and equipment n.e.c.;May 2024;1906
Gross;C28 Manufacture of machinery and equipment n.e.c.;June 2024;1859
Gross;C28 Manufacture of machinery and equipment n.e.c.;July 2024;1950
Gross;C28 Manufacture of machinery and equipment n.e.c.;August 2024;1880
Gross;C28 Manufacture of machinery and equipment n.e.c.;September 2024;1883
Gross;C28 Manufacture of machinery and equipment n.e.c.;October 2024;1903
Gross;C28 Manufacture of machinery and equipment n.e.c.;November 2024;1909
Gross;C28 Manufacture of machinery and equipment n.e.c.;December 2024;1993
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2005;313
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2005;334
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2005;336
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2005;347
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2005;340
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2005;332
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2005;329
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2005;355
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2005;354
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2005;363
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2005;380
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2005;401
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2006;443
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2006;435
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2006;452
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2006;489
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2006;493
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2006;495
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2006;531
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2006;484
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2006;518
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2006;554
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2006;619
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2006;560
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2007;595
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2007;587
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2007;653
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2007;628
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2007;669
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2007;655
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2007;706
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2007;688
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2007;663
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2007;699
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2007;689
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2007;626
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2008;785
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2008;776
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2008;751
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2008;823
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2008;806
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2008;800
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2008;955
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2008;875
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2008;911
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2008;978
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2008;806
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2008;856
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2009;711
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2009;713
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2009;750
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2009;877
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2009;808
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2009;821
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2009;891
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2009;830
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2009;883
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2009;809
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2009;737
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2009;780
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2010;883
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2010;849
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2010;926
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2010;915
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2010;892
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2010;928
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2010;1003
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2010;921
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2010;931
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2010;909
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2010;960
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2010;964
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2011;896
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2011;847
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2011;918
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2011;825
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2011;868
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2011;820
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2011;901
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2011;871
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2011;892
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2011;852
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2011;851
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2011;965
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2012;903
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2012;886
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2012;905
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2012;849
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2012;893
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2012;913
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2012;947
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2012;795
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2012;808
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2012;864
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2012;811
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2012;854
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2013;864
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2013;821
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2013;940
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2013;939
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2013;929
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2013;882
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2013;953
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2013;876
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2013;883
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2013;906
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2013;903
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2013;936
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2014;995
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2014;921
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2014;945
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2014;1052
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2014;974
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2014;966
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2014;1037
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2014;951
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2014;986
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2014;943
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2014;900
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2014;995
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2015;952
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2015;923
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2015;993
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2015;990
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2015;961
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2015;1045
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2015;1029
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2015;977
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2015;941
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2015;954
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2015;1013
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2015;1093
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2016;957
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2016;971
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2016;1038
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2016;1031
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2016;1025
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2016;1063
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2016;1005
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2016;1073
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2016;1005
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2016;997
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2016;1034
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2016;1155
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2017;1052
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2017;986
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2017;1120
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2017;1014
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2017;1071
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2017;1127
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2017;1075
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2017;1124
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2017;1045
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2017;1070
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2017;1194
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2017;1209
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2018;1199
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2018;1088
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2018;1179
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2018;1119
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2018;1186
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2018;1277
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2018;1176
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2018;1245
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2018;1154
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2018;1292
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2018;1191
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2018;1230
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2019;1203
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2019;1123
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2019;1223
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2019;1175
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2019;1265
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2019;1287
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2019;1328
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2019;1320
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2019;1199
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2019;1249
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2019;1260
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2019;1355
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2020;1275
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2020;1262
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2020;1285
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2020;996
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2020;978
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2020;1103
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2020;1355
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2020;1273
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;September 2020;1301
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;October 2020;1287
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;November 2020;1343
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;December 2020;1410
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;January 2021;1303
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;February 2021;1293
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;March 2021;1457
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;April 2021;1352
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;May 2021;1342
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;June 2021;1405
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;July 2021;1383
Gross;C29 Manufacture of motor vehicles, trailers and semi-trailers;August 2021;1388
