Indicator;Economic activity;Year;Number of Employees
Total employment (Domestic concept);Q Human health and social work activities;2005;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2005;47011.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2005;N/A
Total employment (Domestic concept);S Other service activities;2005;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2005;N/A
Employees (Domestic concept);TOTAL TOTAL;2005;853862.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2005;38722.0
Employees (Domestic concept);B_C_D_E Industry - total;2005;173921.0
Employees (Domestic concept);B Mining and quarrying;2005;N/A
Employees (Domestic concept);C Manufacturing;2005;151296.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2005;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2005;N/A
Employees (Domestic concept);F Construction;2005;62702.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2005;273660.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2005;256372.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2005;N/A
Employees (Domestic concept);H Transportation and storage;2005;N/A
Employees (Domestic concept);I Accommodation and food service activities;2005;N/A
Employees (Domestic concept);J Information and communication;2005;17288.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2005;79361.0
Employees (Domestic concept);K Financial and insurance activities;2005;18269.0
Employees (Domestic concept);L Real estate activities;2005;18234.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2005;42858.0
Employees (Domestic concept);M Professional, scientific and technical activities;2005;N/A
Employees (Domestic concept);N Administrative and support service activities;2005;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2005;225496.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2005;193934.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2005;N/A
Employees (Domestic concept);P Education;2005;N/A
Employees (Domestic concept);Q Human health and social work activities;2005;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2005;31562.0
Employees (Domestic concept);R Arts, entertainment and recreation;2005;N/A
Employees (Domestic concept);S Other service activities;2005;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2005;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2005;115288.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2005;53669.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2005;7829.0
Self-employed (Domestic concept);B Mining and quarrying;2005;N/A
Self-employed (Domestic concept);C Manufacturing;2005;6089.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2005;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2005;N/A
Self-employed (Domestic concept);F Construction;2005;6710.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2005;18187.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2005;16086.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2005;N/A
Self-employed (Domestic concept);H Transportation and storage;2005;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2005;N/A
Self-employed (Domestic concept);J Information and communication;2005;2100.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2005;7453.0
Self-employed (Domestic concept);K Financial and insurance activities;2005;445.0
Self-employed (Domestic concept);L Real estate activities;2005;911.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2005;6097.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2005;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2005;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2005;21440.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2005;5991.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2005;N/A
Self-employed (Domestic concept);P Education;2005;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2005;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2005;15449.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2005;N/A
Self-employed (Domestic concept);S Other service activities;2005;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2005;N/A
Total employment (Domestic concept);TOTAL TOTAL;2006;1024945.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2006;105735.0
Total employment (Domestic concept);B_C_D_E Industry - total;2006;181667.0
Total employment (Domestic concept);B Mining and quarrying;2006;N/A
Total employment (Domestic concept);C Manufacturing;2006;158717.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2006;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2006;N/A
Total employment (Domestic concept);F Construction;2006;97083.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2006;299965.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2006;282066.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2006;N/A
Total employment (Domestic concept);H Transportation and storage;2006;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2006;N/A
Total employment (Domestic concept);J Information and communication;2006;17899.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2006;91500.0
Total employment (Domestic concept);K Financial and insurance activities;2006;18732.0
Total employment (Domestic concept);L Real estate activities;2006;20820.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2006;51948.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2006;N/A
Total employment (Domestic concept);N Administrative and support service activities;2006;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2006;248995.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2006;201695.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2006;N/A
Total employment (Domestic concept);P Education;2006;N/A
Total employment (Domestic concept);Q Human health and social work activities;2006;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2006;47300.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2006;N/A
Total employment (Domestic concept);S Other service activities;2006;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2006;N/A
Employees (Domestic concept);TOTAL TOTAL;2006;900299.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2006;45794.0
Employees (Domestic concept);B_C_D_E Industry - total;2006;174149.0
Employees (Domestic concept);B Mining and quarrying;2006;N/A
Employees (Domestic concept);C Manufacturing;2006;152344.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2006;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2006;N/A
Employees (Domestic concept);F Construction;2006;88318.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2006;279878.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2006;264126.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2006;N/A
Employees (Domestic concept);H Transportation and storage;2006;N/A
Employees (Domestic concept);I Accommodation and food service activities;2006;N/A
Employees (Domestic concept);J Information and communication;2006;15752.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2006;83138.0
Employees (Domestic concept);K Financial and insurance activities;2006;18053.0
Employees (Domestic concept);L Real estate activities;2006;19793.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2006;45292.0
Employees (Domestic concept);M Professional, scientific and technical activities;2006;N/A
Employees (Domestic concept);N Administrative and support service activities;2006;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2006;229022.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2006;195420.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2006;N/A
Employees (Domestic concept);P Education;2006;N/A
Employees (Domestic concept);Q Human health and social work activities;2006;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2006;33602.0
Employees (Domestic concept);R Arts, entertainment and recreation;2006;N/A
Employees (Domestic concept);S Other service activities;2006;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2006;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2006;124646.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2006;59941.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2006;7518.0
Self-employed (Domestic concept);B Mining and quarrying;2006;N/A
Self-employed (Domestic concept);C Manufacturing;2006;6373.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2006;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2006;N/A
Self-employed (Domestic concept);F Construction;2006;8765.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2006;20087.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2006;17940.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2006;N/A
Self-employed (Domestic concept);H Transportation and storage;2006;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2006;N/A
Self-employed (Domestic concept);J Information and communication;2006;2147.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2006;8362.0
Self-employed (Domestic concept);K Financial and insurance activities;2006;679.0
Self-employed (Domestic concept);L Real estate activities;2006;1027.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2006;6656.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2006;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2006;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2006;19973.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2006;6275.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2006;N/A
Self-employed (Domestic concept);P Education;2006;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2006;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2006;13698.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2006;N/A
Self-employed (Domestic concept);S Other service activities;2006;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2006;N/A
Total employment (Domestic concept);TOTAL TOTAL;2007;1064074.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2007;86595.0
Total employment (Domestic concept);B_C_D_E Industry - total;2007;177209.0
Total employment (Domestic concept);B Mining and quarrying;2007;N/A
Total employment (Domestic concept);C Manufacturing;2007;154140.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2007;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2007;N/A
Total employment (Domestic concept);F Construction;2007;108167.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2007;327534.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2007;306347.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2007;N/A
Total employment (Domestic concept);H Transportation and storage;2007;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2007;N/A
Total employment (Domestic concept);J Information and communication;2007;21187.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2007;108489.0
Total employment (Domestic concept);K Financial and insurance activities;2007;20208.0
Total employment (Domestic concept);L Real estate activities;2007;23323.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2007;64957.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2007;N/A
Total employment (Domestic concept);N Administrative and support service activities;2007;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2007;256080.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2007;205258.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2007;N/A
Total employment (Domestic concept);P Education;2007;N/A
Total employment (Domestic concept);Q Human health and social work activities;2007;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2007;50822.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2007;N/A
Total employment (Domestic concept);S Other service activities;2007;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2007;N/A
Employees (Domestic concept);TOTAL TOTAL;2007;943802.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2007;33740.0
Employees (Domestic concept);B_C_D_E Industry - total;2007;169423.0
Employees (Domestic concept);B Mining and quarrying;2007;N/A
Employees (Domestic concept);C Manufacturing;2007;147806.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2007;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2007;N/A
Employees (Domestic concept);F Construction;2007;96934.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2007;306152.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2007;287002.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2007;N/A
Employees (Domestic concept);H Transportation and storage;2007;N/A
Employees (Domestic concept);I Accommodation and food service activities;2007;N/A
Employees (Domestic concept);J Information and communication;2007;19150.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2007;100334.0
Employees (Domestic concept);K Financial and insurance activities;2007;19948.0
Employees (Domestic concept);L Real estate activities;2007;22090.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2007;58296.0
Employees (Domestic concept);M Professional, scientific and technical activities;2007;N/A
Employees (Domestic concept);N Administrative and support service activities;2007;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2007;237219.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2007;199465.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2007;N/A
Employees (Domestic concept);P Education;2007;N/A
Employees (Domestic concept);Q Human health and social work activities;2007;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2007;37754.0
Employees (Domestic concept);R Arts, entertainment and recreation;2007;N/A
Employees (Domestic concept);S Other service activities;2007;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2007;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2007;120272.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2007;52855.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2007;7786.0
Self-employed (Domestic concept);B Mining and quarrying;2007;N/A
Self-employed (Domestic concept);C Manufacturing;2007;6334.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2007;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2007;N/A
Self-employed (Domestic concept);F Construction;2007;11233.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2007;21382.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2007;19345.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2007;N/A
Self-employed (Domestic concept);H Transportation and storage;2007;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2007;N/A
Self-employed (Domestic concept);J Information and communication;2007;2037.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2007;8155.0
Self-employed (Domestic concept);K Financial and insurance activities;2007;260.0
Self-employed (Domestic concept);L Real estate activities;2007;1233.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2007;6661.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2007;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2007;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2007;18861.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2007;5793.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2007;N/A
Self-employed (Domestic concept);P Education;2007;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2007;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2007;13068.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2007;N/A
Self-employed (Domestic concept);S Other service activities;2007;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2007;N/A
Total employment (Domestic concept);TOTAL TOTAL;2008;1055068.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2008;79716.0
Total employment (Domestic concept);B_C_D_E Industry - total;2008;175977.0
Total employment (Domestic concept);B Mining and quarrying;2008;N/A
Total employment (Domestic concept);C Manufacturing;2008;150583.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2008;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2008;N/A
Total employment (Domestic concept);F Construction;2008;108652.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2008;321851.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2008;299913.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2008;N/A
Total employment (Domestic concept);H Transportation and storage;2008;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2008;N/A
Total employment (Domestic concept);J Information and communication;2008;21938.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2008;110284.0
Total employment (Domestic concept);K Financial and insurance activities;2008;21614.0
Total employment (Domestic concept);L Real estate activities;2008;23891.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2008;64779.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2008;N/A
Total employment (Domestic concept);N Administrative and support service activities;2008;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2008;258588.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2008;205770.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2008;N/A
Total employment (Domestic concept);P Education;2008;N/A
Total employment (Domestic concept);Q Human health and social work activities;2008;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2008;52818.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2008;N/A
Total employment (Domestic concept);S Other service activities;2008;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2008;N/A
Employees (Domestic concept);TOTAL TOTAL;2008;943473.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2008;34778.0
Employees (Domestic concept);B_C_D_E Industry - total;2008;167538.0
Employees (Domestic concept);B Mining and quarrying;2008;N/A
Employees (Domestic concept);C Manufacturing;2008;143107.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2008;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2008;N/A
Employees (Domestic concept);F Construction;2008;95616.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2008;303275.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2008;282932.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2008;N/A
Employees (Domestic concept);H Transportation and storage;2008;N/A
Employees (Domestic concept);I Accommodation and food service activities;2008;N/A
Employees (Domestic concept);J Information and communication;2008;20343.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2008;104239.0
Employees (Domestic concept);K Financial and insurance activities;2008;21265.0
Employees (Domestic concept);L Real estate activities;2008;23019.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2008;59955.0
Employees (Domestic concept);M Professional, scientific and technical activities;2008;N/A
Employees (Domestic concept);N Administrative and support service activities;2008;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2008;238027.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2008;200182.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2008;N/A
Employees (Domestic concept);P Education;2008;N/A
Employees (Domestic concept);Q Human health and social work activities;2008;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2008;37845.0
Employees (Domestic concept);R Arts, entertainment and recreation;2008;N/A
Employees (Domestic concept);S Other service activities;2008;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2008;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2008;111595.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2008;44938.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2008;8439.0
Self-employed (Domestic concept);B Mining and quarrying;2008;N/A
Self-employed (Domestic concept);C Manufacturing;2008;7476.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2008;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2008;N/A
Self-employed (Domestic concept);F Construction;2008;13036.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2008;18576.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2008;16981.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2008;N/A
Self-employed (Domestic concept);H Transportation and storage;2008;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2008;N/A
Self-employed (Domestic concept);J Information and communication;2008;1595.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2008;6045.0
Self-employed (Domestic concept);K Financial and insurance activities;2008;349.0
Self-employed (Domestic concept);L Real estate activities;2008;872.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2008;4824.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2008;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2008;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2008;20561.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2008;5588.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2008;N/A
Self-employed (Domestic concept);P Education;2008;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2008;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2008;14973.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2008;N/A
Self-employed (Domestic concept);S Other service activities;2008;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2008;N/A
Total employment (Domestic concept);TOTAL TOTAL;2009;903723.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2009;76331.0
Total employment (Domestic concept);B_C_D_E Industry - total;2009;139517.0
Total employment (Domestic concept);B Mining and quarrying;2009;N/A
Total employment (Domestic concept);C Manufacturing;2009;116766.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2009;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2009;N/A
Total employment (Domestic concept);F Construction;2009;72802.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2009;269347.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2009;249992.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2009;N/A
Total employment (Domestic concept);H Transportation and storage;2009;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2009;N/A
Total employment (Domestic concept);J Information and communication;2009;19355.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2009;95551.0
Total employment (Domestic concept);K Financial and insurance activities;2009;19198.0
Total employment (Domestic concept);L Real estate activities;2009;21095.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2009;55258.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2009;N/A
Total employment (Domestic concept);N Administrative and support service activities;2009;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2009;250176.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2009;203831.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2009;N/A
Total employment (Domestic concept);P Education;2009;N/A
Total employment (Domestic concept);Q Human health and social work activities;2009;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2009;46345.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2009;N/A
Total employment (Domestic concept);S Other service activities;2009;N/A
